Species	min	max	deepest
Rhynchoconger flavus	25	112	732
Myrophis punctatus	0	100	100
Ophichthus gomesii	1	112	450
Saurida brasiliensis	18	112	410
Saurida normani	25	112	550
Synodus foetens	0	112	200
Caranx crysos	0	100	100
Chloroscombrus chrysurus	0	110	110
Decapterus punctatus	0	100	100
Selar crumenophthalmus	0	112	170
Selene setapinnis	0	55	55
Seriola dumerili	1	112	385
Seriola rivoliana	5	112	245
Trachurus lathami	30	112	200
Etrumeus teres	0	112	125
Malacanthus plumieri	10	112	153
Leiostomus xanthurus	1	60	60
Micropogonias undulatus	1	100	100
Pareques iwamotoi	37	112	184
Pareques umbrosus	5	91	91
Ctenogobius saepepallens	0	40	40
Lophiodes reticulatus	64	112	820
Halieutichthys aculeatus	5	112	422
Lutjanus campechanus	10	112	190
Pristipomoides aquilonaris	24	112	370
Rhomboplites aurorubens	40	112	300
Dasyscopelus obtusirostris	0	112	700
Diaphus splendidus	40	112	750
Lampadena luminosa	50	112	1021
Lampanyctus alatus	40	112	1500
Lepidophanes guentheri	40	112	750
Myctophum affine	0	112	600
Chromis enchrysurus	5	97	97
Chromis insolata	3	112	152
Pontinus rathbuni	73	112	1033
Scorpaena brasiliensis	1	100	100
Baldwinella aureorubens	120	112	610
Bathyanthias cubensis	66	112	411
Pronotogrammus martinicensis	65	112	230
Serranus atrobranchus	10	112	219
Trichopsetta ventralis	30	110	110
Citharichthys cornutus	30	112	400
Syacium gunteri	27	95	95
Symphurus civitatium	1	73	73
Priacanthus arenatus	10	112	200
Pomatomus saltatrix	0	112	200
Auxis rochei	0	50	50
Auxis thazard	0	112	200
Lagodon rhomboides	6	30	30
Pagrus pagrus	0	112	250
Vinciguerria nimbaria	20	112	5000
Stomias affinis	0	112	3182
Fistularia petimba	10	112	200
Mullus auratus	10	60	60
Upeneus parvus	18	100	100
Balistes capriscus	0	55	55
Sphoeroides dorsalis	18	100	100
Sphoeroides spengleri	2	70	70
Stenella frontalis	0	112	1000
